cluster_id,word_count,sample_words
6,87531,"aaronica, ababillando, ababillaremos, ababillaria, ababillariamos, ababol, abacales, abaceras, abachabas, abachados, abachais, abachare, abachaseis, abacorabais, abacorabas, abacoran, abacorara, abacorare, abacorares, abacorarian"
1,106568,"aaronicas, aaronitas, ababas, ababillado, ababillara, ababillarais, ababillaras, ababillasemos, ababillemos, abacero, abachada, abachadas, abacharemos, abachaste, abaco, abacorad, abacorado, abacorarais, abacores, abacos"
0,86696,"aaronico, aba, ababillaba, ababillamos, ababillan, ababillarian, ababillasen, ababillases, ababillaste, ababilleis, abacha, abachando, abachara, abacharon, abachasemos, abachasteis, abacoraban, abacorada, abacoraras, abacorareis"
2,98980,"aaronicos, ababilla, ababillaramos, ababillaren, ababille, ababilles, abaca, abacalera, abacaleras, abacera, abaceria, abachaba, abachabais, abachad, abacharais, abacharan, abacharen, abachariais, abacharian, abachasen"
3,81502,"aaronita, ababa, ababillabais, ababillareis, ababillo, abacaleros, abacas, abaceros, abachamos, abachar, abacharamos, abachareis, abachares, abachase, abache, abachemos, abacho, abacial, abacorais, abacoremos"
5,86395,"ababillabamos, ababillaban, ababillabas, ababillar, ababillares, ababillarias, ababillarse, ababillas, ababillen, abacal, abacalero, abachaban, abachado, abachan, abacharias, abacheis, abacoraba, abacorabamos, abacoradas, abacorar"
4,88926,"ababillais, ababillaran, ababillare, ababillariais, ababillaron, ababillase, ababillaseis, ababillasteis, ababoles, abacerias, abachabamos, abacharas, abacharia, abachariamos, abachas, abachases, abachen, abaches, abacorados, abacorando"
